spartan_id,title,first_name,last_name,uni_attended,course_taken,mark_achieved
1,Mr,John,Smith,University College London,Aeronautical Engeineering,1st
2,Mrs,Alex,Rogan,Aberystwyth University,Law,2:1
3,Ms,Joe,Jones,London School of Economics,Physics,1st
4,Mr,Idris,Weinstein,University of Sunderland,English Literature,3rd
5,Miss,Harvey,Elba,University of Manchester,Mathematics,2:2
6,Mr.,Alexander,Stalin,University of Birmingham,Computer Science,2:1
7,Mx,Smirnoff,McGinn,Birmingham City University,Sport Science,1st
8,Dr,Connor,Ice,University of Edinburgh,Dentistry,1st
9,Miss,Steve,Austin,University of Southampton,Forensics Computing,1st
10,Mr.,Steve,Austin,King’s College London,English Language and Linguistics,2:2
